,filename,season,episode
54,./data/The.Simpsons.S23E19.A.Totally.Fun.Thing.That.Bart.Will.Never.Do.Again.480p.WEB-DL.x264-Sticky83.mkv,23,19
55,./data/The.Simpsons.S24E13.Hardly.Kirk-ing.480p.WEB-DL.x264-Sticky83.mkv,24,13
56,./data/The.Simpsons.S24E17.What.Animated.Women.Want.480p.WEB-DL.x264-Sticky83.mkv,24,17
57,./data/The.Simpsons.S24E18.Pulpit.Friction.480p.WEB-DL.x264-Sticky83.mkv,24,18
58,./data/The.Simpsons.S24E19.Whiskey.Business.480p.WEB-DL.x264-Sticky83.mkv,24,19
59,./data/The.Simpsons.S25E04.Yolo.480p.WEB-DL.x264-Sticky83.mkv,25,04
60,./data/The.Simpsons.S25E05.Labor.Pains.480p.WEB-DL.x264-Sticky83.mkv,25,05
61,./data/The.Simpsons.S25E08.White.Christmas.Blues.480p.WEB-DL.x264-Sticky83.mkv,25,08
62,./data/The.Simpsons.S25E10.Married.to.the.Blob.480p.WEB-DL.x264-Sticky83.mkv,25,10
63,./data/The.Simpsons.S25E12.Diggs.480p.WEB-DL.x264-Sticky83.mkv,25,12
64,./data/The.Simpsons.S25E13.The.Man.Who.Grew.Too.Much.480p.WEB-DL.x264-Sticky83.mkv,25,13
65,./data/The.Simpsons.S25E14.The.Winter.of.His.Content.480p.WEB-DL.x264-Sticky83.mkv,25,14
66,./data/The.Simpsons.S25E17.Lucas.480p.WEB-DL.x264-Sticky83.mkv,25,17
67,./data/The.Simpsons.S25E22.The.Yellow.Badge.of.Cowardge.480p.WEB-DL.x264-Sticky83.mkv,25,22
